,Classifier,Processor_type,Processor_model,Voters_number,Mean,SD,All_runs
0,fbCCA,CPU,AMD Ryzen 7 5800X,1,5.004054940000242,0.1357241213876857,[5.2213005 5.0614918 4.9967114 4.8164337 4.9243373]
1,MEC,CPU,AMD Ryzen 7 5800X,1,8.93955042000016,0.0608506423242104,[8.9987178 8.8510044 8.9773451 8.881915  8.9887698]
2,MSI,CPU,AMD Ryzen 7 5800X,1,2.0194350200001283,0.0414853109967672,[2.0673031 2.0266598 2.0417907 2.0178772 1.9435443]
3,fbCCA,GPU,NVIDIA GeForce RTX 3060,1,0.3463416870117187,0.0175403015505811,[[0.32410947 0.37026654 0.3497749  0.32883359 0.35872394]]
4,MEC,GPU,NVIDIA GeForce RTX 3060,1,0.1963608276367187,0.0041925946626134,[[0.19599974 0.18839955 0.19908954 0.19995972 0.19835559]]
5,MSI,GPU,NVIDIA GeForce RTX 3060,1,0.0069611136436462,0.0006208455700434,[[0.00816278 0.00695725 0.00656806 0.00650915 0.00660832]]
6,fbCCA,CPU,AMD Ryzen 7 5800X,100,12.316966079999474,0.3659701294030034,[11.9471155 11.9024477 12.3628494 12.4785193 12.8938985]
7,MEC,CPU,AMD Ryzen 7 5800X,100,52.86046112000004,0.2207611126498729,[53.2013031 52.6790376 53.0418217 52.7326906 52.6474526]
8,MSI,CPU,AMD Ryzen 7 5800X,100,2.571603999999934,0.09132304548087289,[2.7432339 2.565555  2.4908506 2.4968861 2.5614944]
9,fbCCA,GPU,NVIDIA GeForce RTX 3060,100,9.9000890625,0.030915371869333956,[[9.92313184 9.94477734 9.86682031 9.86627246 9.89944336]]
10,MEC,GPU,NVIDIA GeForce RTX 3060,100,0.7319187377929688,0.002615308636215697,[[0.73375659 0.7322486  0.73492816 0.73136176 0.72729858]]
11,MSI,GPU,NVIDIA GeForce RTX 3060,100,0.2434317077636719,0.0015609218641496568,[[0.24205206 0.24183223 0.2429745  0.24425337 0.24604637]]
