,Mean,SD,nvoters,processor,all_runs
CCA-CPU-1,7.159280900000885,0.4993425859087521,1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","[8.09878110000136, 6.935598899999604, 6.643705300000875, 7.177806300001976, 6.940512900000613]"
MEC-CPU-1,15.192837160000636,1.5375259789633073,1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","[17.164650300001085, 16.609667600001558, 13.81475219999993, 15.188603300000977, 13.186512399999629]"
MSI-CPU-1,3.0661775999993552,0.2029271078956407,1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","[3.434788099999423, 3.0796140000020387, 3.0372298000002047, 2.94735739999669, 2.831898699998419]"
CCA-GPU-1,0.4598052978515625,0.010912048209107522,1,NVIDIA GeForce RTX 3050 Laptop GPU,[[0.48042783 0.45961011 0.4560376  0.44855402 0.45439694]]
MEC-GPU-1,0.27704619140625,0.006958745354191245,1,NVIDIA GeForce RTX 3050 Laptop GPU,[[0.27127374 0.29065143 0.2746781  0.27305731 0.27557037]]
MSI-GPU-1,0.008612063980102539,0.00012747787654727725,1,NVIDIA GeForce RTX 3050 Laptop GPU,[[0.00867702 0.00862314 0.00871926 0.00867638 0.00836451]]
CCA-CPU-10,7.75587486000004,0.7337473244695831,1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","[7.119182599999476, 6.91790409999885, 7.715591199998016, 8.046872500002792, 8.979823900001065]"
MEC-CPU-10,26.36662781999985,3.0056364211764506,1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","[23.883424200001173, 24.56980779999867, 24.37371669999993, 27.04059249999773, 31.96559790000174]"
MSI-CPU-10,3.091346780000458,0.08915359583641566,1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","[3.009363900000608, 3.1917610000018612, 3.204041099997994, 3.0544250999992073, 2.997142800002621]"
CCA-GPU-10,0.7317591796875,0.006177302348214168,10,NVIDIA GeForce RTX 3050 Laptop GPU,[[0.74047949 0.72713623 0.72310095 0.73604138 0.73203784]]
MEC-GPU-10,0.31034228515625006,0.008821056504690809,10,NVIDIA GeForce RTX 3050 Laptop GPU,[[0.31217456 0.30010477 0.32393082 0.3141853  0.30131598]]
MSI-GPU-10,0.023133299255371092,0.0004121967365580377,10,NVIDIA GeForce RTX 3050 Laptop GPU,[[0.02351366 0.02293667 0.02250717 0.0230576  0.02365139]]
