Subject,fbCCA,MSI,MEC,RG_logreg
0,0.7625,0.65,0.7875,0.18333334
1,0.8333333333333334,0.8416666666666667,0.7666666666666667,0.4
2,0.9916666666666667,0.9875,0.9625,0.85
3,0.9541666666666667,0.925,0.7791666666666667,0.65
4,1.0,0.9958333333333333,0.8208333333333333,0.8833333
5,1.0,0.9916666666666667,0.8416666666666667,0.8833333
6,0.9916666666666667,0.9,0.925,0.85
7,0.9791666666666666,0.975,0.8958333333333334,0.8666667
8,0.6833333333333333,0.6791666666666667,0.5458333333333333,0.71666664
9,0.9666666666666667,0.9791666666666666,0.9791666666666666,0.81666666
10,0.7916666666666666,0.8041666666666667,0.5625,0.6
11,0.9125,0.7791666666666667,0.5083333333333333,0.78333336
12,0.5625,0.55,0.4166666666666667,0.33333334
13,1.0,1.0,0.6458333333333334,0.51666665
14,0.9958333333333333,1.0,0.8166666666666667,0.9
15,0.7541666666666667,0.6208333333333333,0.575,0.46666667
16,0.9958333333333333,1.0,0.9416666666666667,0.85
17,0.8916666666666667,0.8208333333333333,0.7333333333333333,0.73333335
18,0.9416666666666667,0.8416666666666667,0.5958333333333333,0.75
19,1.0,0.9916666666666667,0.9416666666666667,0.8333333
20,0.6625,0.6333333333333333,0.575,0.48333332
21,0.9958333333333333,1.0,0.8375,0.73333335
22,0.9375,0.8916666666666667,0.8875,0.7
23,0.9625,0.8875,0.3541666666666667,0.78333336
24,0.9666666666666667,0.9583333333333334,0.4625,0.81666666
25,0.9875,0.9833333333333333,0.48333333333333334,0.85
26,0.9958333333333333,0.9833333333333333,1.0,0.8833333
27,0.9333333333333333,0.8125,0.7666666666666667,0.81666666
28,0.8291666666666667,0.6541666666666667,0.6166666666666667,0.7
29,0.9541666666666667,0.9708333333333333,0.5666666666666667,0.7
30,1.0,1.0,0.9583333333333334,0.8
31,1.0,1.0,0.9708333333333333,0.9
32,0.4375,0.3625,0.37083333333333335,0.45
33,0.9875,0.9791666666666666,0.9208333333333333,0.76666665
