,Mean,SD,nvoters,processor,all_runs
CCA-CPU-1,5.634345039981417,0.14830284016308962,1,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel","[5.786779999965802, 5.838222999940626, 5.557323499931954, 5.483932100003585, 5.50546660006512]"
MEC-CPU-1,9.995497120008803,0.14806241112019197,1,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel","[10.281957400031388, 9.919668199960142, 9.898955599986948, 9.88379710004665, 9.993107300018892]"
MSI-CPU-1,2.420428920001723,0.0720969737291975,1,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel","[2.5592662999406457, 2.4079486000118777, 2.404634000035003, 2.355227699968964, 2.3750680000521243]"
CCA-GPU-1,0.5253635009765625,0.020786579110463693,1,NVIDIA RTX A5000,[[0.5453736  0.53565033 0.54523663 0.49967517 0.50088177]]
MEC-GPU-1,0.17882921447753905,0.0017679952194844736,1,NVIDIA RTX A5000,[[0.17674057 0.17763664 0.17842813 0.17946541 0.18187532]]
MSI-GPU-1,0.015372492790222167,0.0018502759546558086,1,NVIDIA RTX A5000,[[0.01618259 0.01682349 0.01621971 0.01591683 0.01171984]]
CCA-CPU-10,5.581231920002028,0.10100622849234511,10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel","[5.775636799982749, 5.568870900082402, 5.5115057999501005, 5.555861599976197, 5.4942845000186935]"
MEC-CPU-10,14.652367260004393,0.2299079616633389,10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel","[15.087596799945459, 14.550282299984246, 14.504317000042647, 14.44714040006511, 14.672499799984507]"
MSI-CPU-10,2.6380046600010245,0.04669923508329502,10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel","[2.6589008999289945, 2.7024413000326604, 2.640490200021304, 2.6291179000400007, 2.5590729999821633]"
CCA-GPU-10,0.9293414428710939,0.010282273380050862,10,NVIDIA RTX A5000,[[0.91304034 0.94402838 0.92873236 0.92574396 0.93516217]]
MEC-GPU-10,0.2191859130859375,0.0030287968488967006,10,NVIDIA RTX A5000,[[0.21802707 0.21500473 0.21756314 0.22237648 0.22295815]]
MSI-GPU-10,0.03509193572998047,0.015425695358736866,10,NVIDIA RTX A5000,[[0.06583091 0.02990947 0.02667024 0.02690666 0.0261424 ]]
