,Mean,SD,nvoters,processor,all_runs
CCA-CPU-10,6.937748119999742,0.40529805299109933,10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","[7.715389099999811, 6.836552599999777, 6.678538000000117, 6.890583200000037, 6.567677699998967]"
MEC-CPU-10,23.520587940000404,0.3432611420277417,10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","[23.385191000001214, 23.372806199999104, 24.199335500001325, 23.393633100000443, 23.25197389999994]"
MSI-CPU-10,2.8108607400004986,0.07087758291369016,10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","[2.950402500000564, 2.7803641999998945, 2.7967555000013817, 2.7656776000003447, 2.7611039000003075]"
CCA-GPU-10,0.7220276977539062,0.00878889281710122,10,NVIDIA GeForce RTX 3050 Laptop GPU,[[0.71283594 0.71554633 0.71904761 0.72515454 0.73755408]]
MEC-GPU-10,0.30235029296875,0.004066357819253213,10,NVIDIA GeForce RTX 3050 Laptop GPU,[[0.30111234 0.29866287 0.29953134 0.30237454 0.31007037]]
MSI-GPU-10,0.021789567947387695,0.0001776087127360024,10,NVIDIA GeForce RTX 3050 Laptop GPU,[[0.02200979 0.02190115 0.02165622 0.02151814 0.02186253]]
CCA-CPU-1,6.987337520000073,0.1695034665762555,1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","[7.045414499998515, 6.996871800000008, 6.757305900000574, 7.261016600001312, 6.876078799999959]"
MEC-CPU-1,12.319569079999564,0.3624051147316048,1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","[12.90279179999925, 12.404828900000211, 11.82307419999961, 12.078700599999138, 12.388449899999614]"
MSI-CPU-1,2.769062900000063,0.11973527351332255,1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD","[3.0008983999996417, 2.711300200000551, 2.7204174999988027, 2.6596263000010367, 2.7530721000002814]"
CCA-GPU-1,0.4500879333496094,0.012496830311284754,1,NVIDIA GeForce RTX 3050 Laptop GPU,[[0.47433792 0.44786685 0.43922818 0.44644623 0.44256049]]
MEC-GPU-1,0.27763701171875,0.008967421181685394,1,NVIDIA GeForce RTX 3050 Laptop GPU,[[0.27521371 0.27068845 0.27464893 0.29527573 0.27235825]]
MSI-GPU-1,0.008431494331359864,0.00015563902867254576,1,NVIDIA GeForce RTX 3050 Laptop GPU,[[0.00848826 0.00844675 0.00823162 0.00868189 0.00830896]]
